This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.25 |+0.00 |+9.21 |-0.30|-0.07|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+2.82 |-1.80 |+18.13 |-0.29|-0.04|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.40 |+0.68 |+8.95 |-0.15|+0.01|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.67 |-0.03 |+10.93 |-0.06|+0.03|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.08 |-0.13 |+9.88 |-0.04|+0.01|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |+0.46 |+9.05 |-0.01|+0.00|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.15 |-0.91 |+7.99 |+0.02|-0.03|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.28 |-0.14 |+9.62 |+0.05|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.52 |+0.03 |+9.80 |+0.05|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.76 |+0.03 |+10.30 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.23 |+0.04 |+9.35 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.57 |-0.07 |+9.80 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.34 |+0.10 |+9.67 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.32 |-0.11 |+9.65 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.43 |+0.06 |+9.60 |+0.06|-0.02|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |-0.03 |+9.59 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |-0.03 |+9.71 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.43 |+0.00 |+9.65 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |-0.02 |+9.66 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |-0.04 |+9.64 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.37 |+0.03 |+9.62 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |-0.06 |+9.69 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.45 |-0.02 |+9.72 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |+0.01 |+9.67 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |-0.02 |+9.68 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |-0.03 |+9.65 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |+0.00 |+9.65 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.38 |-0.02 |+9.70 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |+0.03 |+9.65 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.40 |-0.03 |+9.63 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.38 |-0.05 |+9.64 |+0.06|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.38 |+0.00 |+9.67 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.40 |-0.04 |+9.70 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |+0.00 |+9.69 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |+0.03 |+9.71 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |+0.02 |+9.71 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.42 |-0.02 |+9.68 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.41 |+0.00 |+9.68 |+0.07|-0.02|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

